id;nombres;edad;notas
12864;nombre 12864;13;14
12865;nombre 12865;19;13
12866;nombre 12866;16;2
12867;nombre 12867;20;20
12868;nombre 12868;18;2
12869;nombre 12869;11;6
12870;nombre 12870;19;10
12871;nombre 12871;10;1
12872;nombre 12872;15;12
12873;nombre 12873;12;12
12874;nombre 12874;19;6
12875;nombre 12875;18;20
12876;nombre 12876;17;14
12877;nombre 12877;12;6
12878;nombre 12878;10;1
12879;nombre 12879;16;1
12880;nombre 12880;18;3
12881;nombre 12881;12;17
12882;nombre 12882;20;0
12883;nombre 12883;16;18
12884;nombre 12884;20;7
12885;nombre 12885;12;18
12886;nombre 12886;18;11
12887;nombre 12887;11;16
12888;nombre 12888;10;9
12889;nombre 12889;14;17
12890;nombre 12890;18;15
12891;nombre 12891;19;4
12892;nombre 12892;15;2
12893;nombre 12893;12;9
12894;nombre 12894;12;0
12895;nombre 12895;20;2
12896;nombre 12896;17;6
12897;nombre 12897;17;17
12898;nombre 12898;10;4
12899;nombre 12899;17;9
12900;nombre 12900;18;4
12901;nombre 12901;15;19
12902;nombre 12902;17;20
12903;nombre 12903;13;2
12904;nombre 12904;17;18
12905;nombre 12905;19;12
12906;nombre 12906;13;2
12907;nombre 12907;16;20
12908;nombre 12908;11;1
12909;nombre 12909;15;3
12910;nombre 12910;13;10
12911;nombre 12911;15;7
12912;nombre 12912;19;7
12913;nombre 12913;12;19
12914;nombre 12914;17;5
12915;nombre 12915;14;8
12916;nombre 12916;17;1
12917;nombre 12917;16;16
12918;nombre 12918;15;18
12919;nombre 12919;10;8
12920;nombre 12920;19;6
12921;nombre 12921;18;3
12922;nombre 12922;15;5
12923;nombre 12923;17;11
12924;nombre 12924;15;7
12925;nombre 12925;13;16
12926;nombre 12926;20;13
12927;nombre 12927;13;0
12928;nombre 12928;10;19
12929;nombre 12929;12;17
12930;nombre 12930;15;15
12931;nombre 12931;16;19
12932;nombre 12932;17;5
12933;nombre 12933;17;9
12934;nombre 12934;16;5
12935;nombre 12935;18;14
12936;nombre 12936;13;15
12937;nombre 12937;14;9
12938;nombre 12938;14;13
12939;nombre 12939;18;5
12940;nombre 12940;20;10
12941;nombre 12941;18;7
12942;nombre 12942;16;19
12943;nombre 12943;14;16
12944;nombre 12944;18;5
12945;nombre 12945;19;1
12946;nombre 12946;15;8
12947;nombre 12947;18;7
12948;nombre 12948;10;5
12949;nombre 12949;14;20
12950;nombre 12950;18;0
12951;nombre 12951;15;4
12952;nombre 12952;14;7
12953;nombre 12953;13;15
12954;nombre 12954;13;3
12955;nombre 12955;19;7
12956;nombre 12956;17;13
12957;nombre 12957;13;7
12958;nombre 12958;20;4
12959;nombre 12959;17;13
12960;nombre 12960;13;14
12961;nombre 12961;10;5
12962;nombre 12962;14;10
12963;nombre 12963;17;3
12964;nombre 12964;13;2
12965;nombre 12965;18;0
12966;nombre 12966;12;17
12967;nombre 12967;15;11
12968;nombre 12968;14;4
12969;nombre 12969;10;5
12970;nombre 12970;14;0
12971;nombre 12971;12;10
12972;nombre 12972;15;6
12973;nombre 12973;13;18
12974;nombre 12974;14;8
12975;nombre 12975;15;19
12976;nombre 12976;15;12
12977;nombre 12977;20;1
12978;nombre 12978;15;5
12979;nombre 12979;18;13
12980;nombre 12980;13;7
12981;nombre 12981;13;16
12982;nombre 12982;14;0
12983;nombre 12983;17;16
12984;nombre 12984;20;16
12985;nombre 12985;20;9
12986;nombre 12986;13;18
12987;nombre 12987;10;12
12988;nombre 12988;20;11
12989;nombre 12989;16;7
12990;nombre 12990;11;3
12991;nombre 12991;15;12
12992;nombre 12992;16;1
12993;nombre 12993;15;2
12994;nombre 12994;17;10
12995;nombre 12995;19;20
12996;nombre 12996;14;2
12997;nombre 12997;14;14
12998;nombre 12998;19;3
12999;nombre 12999;18;15
13000;nombre 13000;19;7
13001;nombre 13001;17;8
13002;nombre 13002;16;15
13003;nombre 13003;13;12
13004;nombre 13004;14;5
13005;nombre 13005;15;13
13006;nombre 13006;15;20
13007;nombre 13007;10;2
13008;nombre 13008;17;20
13009;nombre 13009;19;5
13010;nombre 13010;13;0
13011;nombre 13011;16;8
13012;nombre 13012;11;4
13013;nombre 13013;16;17
13014;nombre 13014;16;4
13015;nombre 13015;20;11
13016;nombre 13016;20;13
13017;nombre 13017;20;20
13018;nombre 13018;13;3
13019;nombre 13019;18;0
13020;nombre 13020;20;8
13021;nombre 13021;10;10
13022;nombre 13022;10;6
13023;nombre 13023;10;18
13024;nombre 13024;11;14
13025;nombre 13025;12;18
13026;nombre 13026;18;8
13027;nombre 13027;17;15
13028;nombre 13028;15;17
13029;nombre 13029;15;8
13030;nombre 13030;19;14
13031;nombre 13031;10;5
13032;nombre 13032;11;10
13033;nombre 13033;17;0
13034;nombre 13034;18;5
13035;nombre 13035;10;16
13036;nombre 13036;17;13
13037;nombre 13037;13;10
13038;nombre 13038;19;19
13039;nombre 13039;16;16
13040;nombre 13040;12;11
13041;nombre 13041;12;2
13042;nombre 13042;17;3
13043;nombre 13043;11;7
13044;nombre 13044;16;10
13045;nombre 13045;18;17
13046;nombre 13046;19;19
13047;nombre 13047;16;9
13048;nombre 13048;16;15
13049;nombre 13049;14;14
13050;nombre 13050;17;19
13051;nombre 13051;15;12
13052;nombre 13052;19;10
13053;nombre 13053;11;14
13054;nombre 13054;14;14
13055;nombre 13055;15;4
13056;nombre 13056;14;12
13057;nombre 13057;17;17
13058;nombre 13058;19;17
13059;nombre 13059;14;7
13060;nombre 13060;10;12
13061;nombre 13061;10;9
13062;nombre 13062;13;4
13063;nombre 13063;16;2
13064;nombre 13064;12;16
13065;nombre 13065;18;0
13066;nombre 13066;12;0
13067;nombre 13067;16;12
13068;nombre 13068;13;15
13069;nombre 13069;20;20
13070;nombre 13070;20;14
13071;nombre 13071;15;0
13072;nombre 13072;10;18
13073;nombre 13073;10;14
13074;nombre 13074;16;13
13075;nombre 13075;19;10
13076;nombre 13076;14;17
13077;nombre 13077;19;1
13078;nombre 13078;18;9
13079;nombre 13079;20;3
13080;nombre 13080;13;3
13081;nombre 13081;16;3
13082;nombre 13082;17;0
13083;nombre 13083;13;5
13084;nombre 13084;13;17
13085;nombre 13085;19;5
13086;nombre 13086;20;20
13087;nombre 13087;16;3
13088;nombre 13088;14;18
13089;nombre 13089;16;20
13090;nombre 13090;20;14
13091;nombre 13091;10;18
13092;nombre 13092;12;2
13093;nombre 13093;12;19
13094;nombre 13094;15;18
13095;nombre 13095;13;10
13096;nombre 13096;11;1
13097;nombre 13097;20;12
13098;nombre 13098;16;10
13099;nombre 13099;18;5
13100;nombre 13100;16;18
13101;nombre 13101;20;15
13102;nombre 13102;11;0
13103;nombre 13103;16;3
13104;nombre 13104;14;9
13105;nombre 13105;15;8
13106;nombre 13106;11;7
13107;nombre 13107;17;7
13108;nombre 13108;11;16
13109;nombre 13109;20;2
13110;nombre 13110;11;1
13111;nombre 13111;18;0
13112;nombre 13112;17;7
13113;nombre 13113;18;12
13114;nombre 13114;13;17
13115;nombre 13115;12;19
13116;nombre 13116;15;16
13117;nombre 13117;18;0
13118;nombre 13118;14;9
13119;nombre 13119;11;12
13120;nombre 13120;18;13
13121;nombre 13121;16;1
13122;nombre 13122;10;0
13123;nombre 13123;10;4
13124;nombre 13124;13;5
13125;nombre 13125;18;19
13126;nombre 13126;19;20
13127;nombre 13127;16;3
13128;nombre 13128;13;18
13129;nombre 13129;12;13
13130;nombre 13130;19;18
13131;nombre 13131;14;10
13132;nombre 13132;19;14
13133;nombre 13133;11;18
13134;nombre 13134;17;1
13135;nombre 13135;15;14
13136;nombre 13136;13;7
13137;nombre 13137;11;6
13138;nombre 13138;16;19
13139;nombre 13139;14;15
13140;nombre 13140;10;10
13141;nombre 13141;16;9
13142;nombre 13142;20;15
13143;nombre 13143;17;4
13144;nombre 13144;18;1
13145;nombre 13145;19;18
13146;nombre 13146;17;11
13147;nombre 13147;19;19
13148;nombre 13148;12;18
13149;nombre 13149;19;19
13150;nombre 13150;13;8
13151;nombre 13151;13;13
13152;nombre 13152;14;6
13153;nombre 13153;12;19
13154;nombre 13154;13;1
13155;nombre 13155;16;2
13156;nombre 13156;15;9
13157;nombre 13157;12;15
13158;nombre 13158;11;14
13159;nombre 13159;14;19
13160;nombre 13160;11;12
13161;nombre 13161;17;6
13162;nombre 13162;16;6
13163;nombre 13163;14;16
13164;nombre 13164;15;17
13165;nombre 13165;14;1
13166;nombre 13166;10;11
13167;nombre 13167;20;16
13168;nombre 13168;13;7
13169;nombre 13169;17;9
13170;nombre 13170;12;6
13171;nombre 13171;20;13
13172;nombre 13172;18;1
13173;nombre 13173;16;19
13174;nombre 13174;17;15
13175;nombre 13175;11;13
13176;nombre 13176;16;11
13177;nombre 13177;19;16
13178;nombre 13178;16;19
13179;nombre 13179;11;6
13180;nombre 13180;16;10
13181;nombre 13181;17;2
13182;nombre 13182;11;1
13183;nombre 13183;19;11
13184;nombre 13184;16;17
13185;nombre 13185;18;6
13186;nombre 13186;19;20
13187;nombre 13187;15;4
13188;nombre 13188;20;16
13189;nombre 13189;12;6
13190;nombre 13190;18;20
13191;nombre 13191;17;8
13192;nombre 13192;15;11
13193;nombre 13193;20;18
13194;nombre 13194;17;14
13195;nombre 13195;19;6
13196;nombre 13196;17;0
13197;nombre 13197;20;13
13198;nombre 13198;10;20
13199;nombre 13199;13;14
13200;nombre 13200;20;15
13201;nombre 13201;13;17
13202;nombre 13202;17;0
13203;nombre 13203;10;11
13204;nombre 13204;14;11
13205;nombre 13205;17;19
13206;nombre 13206;13;18
13207;nombre 13207;15;4
13208;nombre 13208;13;19
13209;nombre 13209;11;8
13210;nombre 13210;12;4
13211;nombre 13211;11;9
13212;nombre 13212;11;20
13213;nombre 13213;12;20
13214;nombre 13214;14;16
13215;nombre 13215;19;0
13216;nombre 13216;16;20
13217;nombre 13217;10;20
13218;nombre 13218;16;0
13219;nombre 13219;13;11
13220;nombre 13220;14;5
13221;nombre 13221;19;3
13222;nombre 13222;11;10
13223;nombre 13223;18;1
13224;nombre 13224;17;4
13225;nombre 13225;19;10
13226;nombre 13226;11;17
13227;nombre 13227;14;20
13228;nombre 13228;12;0
13229;nombre 13229;14;11
13230;nombre 13230;15;5
13231;nombre 13231;16;18
13232;nombre 13232;13;17
13233;nombre 13233;20;0
13234;nombre 13234;16;4
13235;nombre 13235;10;7
13236;nombre 13236;15;10
13237;nombre 13237;18;18
13238;nombre 13238;12;5
13239;nombre 13239;14;0
13240;nombre 13240;17;20
13241;nombre 13241;14;2
13242;nombre 13242;15;17
13243;nombre 13243;12;4
13244;nombre 13244;18;16
13245;nombre 13245;20;10
13246;nombre 13246;18;16
13247;nombre 13247;11;7
13248;nombre 13248;20;20
13249;nombre 13249;18;3
13250;nombre 13250;16;4
13251;nombre 13251;20;14
13252;nombre 13252;12;8
13253;nombre 13253;12;3
13254;nombre 13254;12;1
13255;nombre 13255;15;17
13256;nombre 13256;18;20
13257;nombre 13257;11;1
13258;nombre 13258;15;0
13259;nombre 13259;11;10
13260;nombre 13260;19;14
13261;nombre 13261;20;2
13262;nombre 13262;17;1
13263;nombre 13263;17;11
13264;nombre 13264;16;1
13265;nombre 13265;12;16
13266;nombre 13266;17;14
13267;nombre 13267;12;9
13268;nombre 13268;19;18
13269;nombre 13269;14;13
13270;nombre 13270;10;12
13271;nombre 13271;10;13
13272;nombre 13272;10;7
13273;nombre 13273;19;8
13274;nombre 13274;14;16
13275;nombre 13275;16;14
13276;nombre 13276;10;10
13277;nombre 13277;20;14
13278;nombre 13278;12;3
13279;nombre 13279;17;15
13280;nombre 13280;12;15
13281;nombre 13281;19;16
13282;nombre 13282;15;7
13283;nombre 13283;10;11
13284;nombre 13284;20;9
13285;nombre 13285;18;11
13286;nombre 13286;12;20
13287;nombre 13287;15;13
13288;nombre 13288;15;16
13289;nombre 13289;14;19
13290;nombre 13290;14;8
13291;nombre 13291;18;17
13292;nombre 13292;20;8
13293;nombre 13293;11;19
13294;nombre 13294;20;20
13295;nombre 13295;16;6
13296;nombre 13296;18;5
13297;nombre 13297;10;1
13298;nombre 13298;16;19
13299;nombre 13299;20;12
13300;nombre 13300;16;19
13301;nombre 13301;19;9
13302;nombre 13302;17;3
13303;nombre 13303;12;17
13304;nombre 13304;11;20
13305;nombre 13305;14;8
13306;nombre 13306;17;1
13307;nombre 13307;14;0
13308;nombre 13308;10;14
13309;nombre 13309;15;13
13310;nombre 13310;12;2
13311;nombre 13311;15;19
13312;nombre 13312;19;19
13313;nombre 13313;20;17
13314;nombre 13314;19;3
13315;nombre 13315;19;8
13316;nombre 13316;18;9
13317;nombre 13317;18;16
13318;nombre 13318;12;8
13319;nombre 13319;12;8
13320;nombre 13320;18;11
13321;nombre 13321;17;1
13322;nombre 13322;13;17
13323;nombre 13323;16;17
13324;nombre 13324;20;6
13325;nombre 13325;15;16
13326;nombre 13326;19;2
13327;nombre 13327;20;19
13328;nombre 13328;19;2
13329;nombre 13329;13;17
13330;nombre 13330;12;5
13331;nombre 13331;15;10
13332;nombre 13332;12;9
13333;nombre 13333;19;18
13334;nombre 13334;15;9
13335;nombre 13335;20;5
13336;nombre 13336;20;5
13337;nombre 13337;18;14
13338;nombre 13338;18;0
13339;nombre 13339;14;12
13340;nombre 13340;11;8
13341;nombre 13341;20;8
13342;nombre 13342;12;2
13343;nombre 13343;19;15
13344;nombre 13344;16;12
13345;nombre 13345;15;7
13346;nombre 13346;12;7
13347;nombre 13347;20;2
13348;nombre 13348;15;11
13349;nombre 13349;12;14
13350;nombre 13350;16;16
13351;nombre 13351;13;4
13352;nombre 13352;15;17
13353;nombre 13353;18;5
13354;nombre 13354;10;0
13355;nombre 13355;17;20
13356;nombre 13356;14;8
13357;nombre 13357;17;10
13358;nombre 13358;16;16
13359;nombre 13359;10;13
13360;nombre 13360;10;16
13361;nombre 13361;11;8
13362;nombre 13362;16;7
13363;nombre 13363;11;7
13364;nombre 13364;12;6
13365;nombre 13365;14;11
13366;nombre 13366;12;16
13367;nombre 13367;13;2
13368;nombre 13368;16;7
13369;nombre 13369;16;10
13370;nombre 13370;14;20
13371;nombre 13371;15;8
13372;nombre 13372;13;17
13373;nombre 13373;12;19
13374;nombre 13374;11;9
13375;nombre 13375;20;16
13376;nombre 13376;13;12
13377;nombre 13377;12;4
13378;nombre 13378;10;3
13379;nombre 13379;18;15
13380;nombre 13380;20;13
13381;nombre 13381;18;15
13382;nombre 13382;17;4
13383;nombre 13383;11;20
13384;nombre 13384;17;7
13385;nombre 13385;12;2
13386;nombre 13386;20;9
13387;nombre 13387;15;13
13388;nombre 13388;12;0
13389;nombre 13389;11;0
13390;nombre 13390;13;15
13391;nombre 13391;18;16
13392;nombre 13392;18;14
13393;nombre 13393;10;7
13394;nombre 13394;20;1
13395;nombre 13395;14;13
13396;nombre 13396;17;17
13397;nombre 13397;10;15
13398;nombre 13398;11;5
13399;nombre 13399;20;0
13400;nombre 13400;12;18
13401;nombre 13401;14;13
13402;nombre 13402;13;4
13403;nombre 13403;13;14
13404;nombre 13404;12;1
13405;nombre 13405;20;19
13406;nombre 13406;14;15
13407;nombre 13407;12;11
13408;nombre 13408;19;1
13409;nombre 13409;17;12
13410;nombre 13410;11;13
13411;nombre 13411;11;19
13412;nombre 13412;18;13
13413;nombre 13413;19;16
13414;nombre 13414;12;16
13415;nombre 13415;15;7
13416;nombre 13416;19;14
13417;nombre 13417;10;2
13418;nombre 13418;20;7
13419;nombre 13419;20;11
13420;nombre 13420;11;15
13421;nombre 13421;11;3
13422;nombre 13422;13;17
13423;nombre 13423;11;16
13424;nombre 13424;15;17
13425;nombre 13425;11;11
13426;nombre 13426;17;8
13427;nombre 13427;16;5
13428;nombre 13428;11;9
13429;nombre 13429;12;12
13430;nombre 13430;11;20
13431;nombre 13431;11;3
13432;nombre 13432;12;2
13433;nombre 13433;11;3
13434;nombre 13434;19;17
13435;nombre 13435;12;4
13436;nombre 13436;13;15
13437;nombre 13437;12;15
13438;nombre 13438;10;0
13439;nombre 13439;20;13
13440;nombre 13440;16;1
13441;nombre 13441;10;7
13442;nombre 13442;10;20
13443;nombre 13443;16;12
13444;nombre 13444;20;18
13445;nombre 13445;14;15
13446;nombre 13446;18;8
13447;nombre 13447;19;4
13448;nombre 13448;16;18
13449;nombre 13449;15;5
13450;nombre 13450;19;7
13451;nombre 13451;14;13
13452;nombre 13452;12;10
13453;nombre 13453;14;7
13454;nombre 13454;14;5
13455;nombre 13455;12;14
13456;nombre 13456;12;4
13457;nombre 13457;15;20
13458;nombre 13458;11;3
13459;nombre 13459;19;6
13460;nombre 13460;10;17
13461;nombre 13461;20;0
13462;nombre 13462;20;18
13463;nombre 13463;17;11
13464;nombre 13464;10;2
13465;nombre 13465;11;15
13466;nombre 13466;18;16
13467;nombre 13467;14;14
13468;nombre 13468;17;6
13469;nombre 13469;11;5
13470;nombre 13470;20;17
13471;nombre 13471;16;0
13472;nombre 13472;18;7
13473;nombre 13473;16;9
13474;nombre 13474;14;14
13475;nombre 13475;16;7
13476;nombre 13476;19;19
13477;nombre 13477;12;6
13478;nombre 13478;15;19
13479;nombre 13479;19;15
13480;nombre 13480;19;1
13481;nombre 13481;18;20
13482;nombre 13482;19;2
13483;nombre 13483;16;2
13484;nombre 13484;19;6
13485;nombre 13485;19;6
13486;nombre 13486;11;13
13487;nombre 13487;11;10
13488;nombre 13488;18;18
13489;nombre 13489;10;4
13490;nombre 13490;13;5
13491;nombre 13491;16;6
13492;nombre 13492;16;17
13493;nombre 13493;15;11
13494;nombre 13494;18;2
13495;nombre 13495;13;6
13496;nombre 13496;16;11
13497;nombre 13497;15;8
13498;nombre 13498;20;5
13499;nombre 13499;16;14
13500;nombre 13500;10;15
13501;nombre 13501;20;19
13502;nombre 13502;12;6
13503;nombre 13503;10;11
13504;nombre 13504;18;19
13505;nombre 13505;12;13
13506;nombre 13506;16;13
13507;nombre 13507;19;3
13508;nombre 13508;18;14
13509;nombre 13509;12;11
13510;nombre 13510;10;4
13511;nombre 13511;10;15
13512;nombre 13512;12;5
13513;nombre 13513;10;12
13514;nombre 13514;11;9
13515;nombre 13515;11;15
13516;nombre 13516;12;0
13517;nombre 13517;13;14
13518;nombre 13518;19;15
13519;nombre 13519;16;18
13520;nombre 13520;12;13
13521;nombre 13521;20;20
13522;nombre 13522;13;20
13523;nombre 13523;20;5
13524;nombre 13524;16;12
13525;nombre 13525;17;1
13526;nombre 13526;13;18
13527;nombre 13527;20;3
13528;nombre 13528;16;18
13529;nombre 13529;19;3
13530;nombre 13530;11;20
13531;nombre 13531;18;11
13532;nombre 13532;11;8
13533;nombre 13533;20;2
13534;nombre 13534;17;6
13535;nombre 13535;17;5
13536;nombre 13536;11;19
13537;nombre 13537;12;18
13538;nombre 13538;14;11
13539;nombre 13539;11;14
13540;nombre 13540;11;3
13541;nombre 13541;19;18
13542;nombre 13542;18;13
13543;nombre 13543;14;11
13544;nombre 13544;10;8
13545;nombre 13545;16;11
13546;nombre 13546;18;10
13547;nombre 13547;13;17
13548;nombre 13548;18;17
13549;nombre 13549;14;18
13550;nombre 13550;19;4
13551;nombre 13551;11;19
13552;nombre 13552;13;1
13553;nombre 13553;18;3
13554;nombre 13554;15;16
13555;nombre 13555;19;3
13556;nombre 13556;15;5
13557;nombre 13557;14;4
13558;nombre 13558;16;17
13559;nombre 13559;12;14
13560;nombre 13560;20;13
13561;nombre 13561;19;20
13562;nombre 13562;11;9
13563;nombre 13563;14;17
13564;nombre 13564;19;19
13565;nombre 13565;15;1
13566;nombre 13566;18;15
13567;nombre 13567;15;8
13568;nombre 13568;18;1
13569;nombre 13569;13;5
13570;nombre 13570;17;19
13571;nombre 13571;19;3
13572;nombre 13572;12;20
13573;nombre 13573;18;10
13574;nombre 13574;10;0
13575;nombre 13575;15;4
13576;nombre 13576;12;5
13577;nombre 13577;10;3
13578;nombre 13578;19;13
13579;nombre 13579;12;14
13580;nombre 13580;17;18
13581;nombre 13581;11;13
13582;nombre 13582;16;2
13583;nombre 13583;14;18
13584;nombre 13584;12;11
13585;nombre 13585;18;2
13586;nombre 13586;20;20
13587;nombre 13587;20;6
13588;nombre 13588;19;3
13589;nombre 13589;10;6
13590;nombre 13590;19;19
13591;nombre 13591;18;3
13592;nombre 13592;12;18
13593;nombre 13593;20;1
13594;nombre 13594;20;11
13595;nombre 13595;18;4
13596;nombre 13596;10;10
13597;nombre 13597;19;4
13598;nombre 13598;15;17
13599;nombre 13599;16;15
13600;nombre 13600;16;15
13601;nombre 13601;15;17
13602;nombre 13602;11;15
13603;nombre 13603;12;1
13604;nombre 13604;18;8
13605;nombre 13605;17;13
13606;nombre 13606;15;19
13607;nombre 13607;10;16
13608;nombre 13608;14;13
13609;nombre 13609;11;18
13610;nombre 13610;17;11
13611;nombre 13611;11;5
13612;nombre 13612;17;18
13613;nombre 13613;12;7
13614;nombre 13614;20;2
13615;nombre 13615;11;16
13616;nombre 13616;20;4
13617;nombre 13617;17;17
13618;nombre 13618;16;10
13619;nombre 13619;15;20
13620;nombre 13620;18;3
13621;nombre 13621;20;10
13622;nombre 13622;20;11
13623;nombre 13623;10;15
13624;nombre 13624;11;16
13625;nombre 13625;19;12
13626;nombre 13626;18;10
13627;nombre 13627;17;20
13628;nombre 13628;11;17
13629;nombre 13629;11;20
13630;nombre 13630;11;14
13631;nombre 13631;14;17
13632;nombre 13632;20;4
13633;nombre 13633;10;10
13634;nombre 13634;12;13
13635;nombre 13635;17;1
13636;nombre 13636;19;14
13637;nombre 13637;18;0
13638;nombre 13638;18;15
13639;nombre 13639;15;3
13640;nombre 13640;10;4
13641;nombre 13641;12;18
13642;nombre 13642;15;10
13643;nombre 13643;16;18
13644;nombre 13644;12;6
13645;nombre 13645;14;12
13646;nombre 13646;15;7
13647;nombre 13647;11;16
13648;nombre 13648;11;12
13649;nombre 13649;11;10
13650;nombre 13650;13;14
13651;nombre 13651;16;18
13652;nombre 13652;15;3
13653;nombre 13653;12;6
13654;nombre 13654;15;1
13655;nombre 13655;19;17
13656;nombre 13656;19;3
13657;nombre 13657;20;9
13658;nombre 13658;19;3
13659;nombre 13659;16;19
13660;nombre 13660;15;14
13661;nombre 13661;19;17
13662;nombre 13662;11;8
13663;nombre 13663;10;8
13664;nombre 13664;11;7
13665;nombre 13665;13;9
13666;nombre 13666;14;2
13667;nombre 13667;20;6
13668;nombre 13668;20;8
13669;nombre 13669;13;15
13670;nombre 13670;20;16
13671;nombre 13671;13;0
13672;nombre 13672;17;6
13673;nombre 13673;12;13
13674;nombre 13674;12;17
13675;nombre 13675;13;11
13676;nombre 13676;20;0
13677;nombre 13677;18;2
13678;nombre 13678;12;18
13679;nombre 13679;12;7
13680;nombre 13680;12;10
13681;nombre 13681;18;18
13682;nombre 13682;16;4
13683;nombre 13683;13;9
13684;nombre 13684;19;17
13685;nombre 13685;14;12
13686;nombre 13686;18;13
13687;nombre 13687;16;12
13688;nombre 13688;16;16
13689;nombre 13689;14;5
13690;nombre 13690;10;12
13691;nombre 13691;16;9
13692;nombre 13692;18;2
13693;nombre 13693;11;3
13694;nombre 13694;19;8
13695;nombre 13695;19;13
13696;nombre 13696;20;20
13697;nombre 13697;14;20
13698;nombre 13698;13;13
13699;nombre 13699;11;12
13700;nombre 13700;20;5
13701;nombre 13701;20;14
13702;nombre 13702;15;4
13703;nombre 13703;20;18
13704;nombre 13704;13;10
13705;nombre 13705;18;16
13706;nombre 13706;15;13
13707;nombre 13707;14;18
13708;nombre 13708;13;9
13709;nombre 13709;14;11
13710;nombre 13710;12;11
13711;nombre 13711;12;17
13712;nombre 13712;10;3
13713;nombre 13713;12;8
13714;nombre 13714;20;17
13715;nombre 13715;16;1
13716;nombre 13716;16;12
13717;nombre 13717;12;8
13718;nombre 13718;13;2
13719;nombre 13719;20;4
13720;nombre 13720;10;11
13721;nombre 13721;19;9
13722;nombre 13722;19;10
13723;nombre 13723;10;12
13724;nombre 13724;17;8
13725;nombre 13725;20;20
13726;nombre 13726;18;11
13727;nombre 13727;10;1
13728;nombre 13728;18;1
13729;nombre 13729;17;5
13730;nombre 13730;18;7
13731;nombre 13731;18;17
13732;nombre 13732;20;5
13733;nombre 13733;17;0
13734;nombre 13734;14;15
13735;nombre 13735;18;2
13736;nombre 13736;13;13
13737;nombre 13737;18;4
13738;nombre 13738;13;7
13739;nombre 13739;14;8
13740;nombre 13740;14;13
13741;nombre 13741;19;4
13742;nombre 13742;20;2
13743;nombre 13743;19;4
13744;nombre 13744;14;2
13745;nombre 13745;17;8
13746;nombre 13746;19;6
13747;nombre 13747;19;12
13748;nombre 13748;16;15
13749;nombre 13749;11;14
13750;nombre 13750;11;11
13751;nombre 13751;18;2
13752;nombre 13752;19;0
13753;nombre 13753;11;2
13754;nombre 13754;14;14
13755;nombre 13755;11;20
13756;nombre 13756;20;19
13757;nombre 13757;11;18
13758;nombre 13758;16;8
13759;nombre 13759;10;19
13760;nombre 13760;10;3
13761;nombre 13761;18;10
13762;nombre 13762;17;20
13763;nombre 13763;10;17
13764;nombre 13764;16;1
13765;nombre 13765;11;14
13766;nombre 13766;15;1
13767;nombre 13767;17;14
13768;nombre 13768;17;3
13769;nombre 13769;10;9
13770;nombre 13770;16;18
13771;nombre 13771;13;1
13772;nombre 13772;11;10
13773;nombre 13773;19;20
13774;nombre 13774;20;8
13775;nombre 13775;19;18
13776;nombre 13776;19;8
13777;nombre 13777;19;11
13778;nombre 13778;17;12
13779;nombre 13779;15;17
13780;nombre 13780;19;6
13781;nombre 13781;16;20
13782;nombre 13782;16;1
13783;nombre 13783;11;14
13784;nombre 13784;16;18
13785;nombre 13785;16;13
13786;nombre 13786;17;5
13787;nombre 13787;13;7
13788;nombre 13788;14;17
13789;nombre 13789;18;11
13790;nombre 13790;13;8
13791;nombre 13791;19;10
13792;nombre 13792;17;17
13793;nombre 13793;17;17
13794;nombre 13794;17;9
13795;nombre 13795;18;17
13796;nombre 13796;10;15
13797;nombre 13797;10;16
13798;nombre 13798;15;14
13799;nombre 13799;15;13
13800;nombre 13800;12;17
13801;nombre 13801;10;3
13802;nombre 13802;13;12
13803;nombre 13803;17;9
13804;nombre 13804;15;14
13805;nombre 13805;15;18
13806;nombre 13806;16;5
13807;nombre 13807;18;8
13808;nombre 13808;15;11
13809;nombre 13809;19;3
13810;nombre 13810;19;5
13811;nombre 13811;18;18
13812;nombre 13812;11;14
13813;nombre 13813;16;17
13814;nombre 13814;20;17
13815;nombre 13815;11;14
13816;nombre 13816;16;4
13817;nombre 13817;14;4
13818;nombre 13818;10;10
13819;nombre 13819;16;5
13820;nombre 13820;17;17
13821;nombre 13821;15;7
13822;nombre 13822;16;6
13823;nombre 13823;13;9
13824;nombre 13824;12;9
13825;nombre 13825;19;13
13826;nombre 13826;20;5
13827;nombre 13827;15;8
13828;nombre 13828;20;2
13829;nombre 13829;18;14
13830;nombre 13830;19;2
13831;nombre 13831;14;6
13832;nombre 13832;15;10
13833;nombre 13833;12;19
13834;nombre 13834;18;8
13835;nombre 13835;13;15
13836;nombre 13836;11;12
13837;nombre 13837;15;8
13838;nombre 13838;18;1
13839;nombre 13839;17;20
13840;nombre 13840;20;1
13841;nombre 13841;19;10
13842;nombre 13842;12;5
13843;nombre 13843;15;2
13844;nombre 13844;15;0
13845;nombre 13845;14;11
13846;nombre 13846;16;20
13847;nombre 13847;10;3
13848;nombre 13848;14;19
13849;nombre 13849;13;6
13850;nombre 13850;13;19
13851;nombre 13851;18;20
13852;nombre 13852;19;16
13853;nombre 13853;15;12
13854;nombre 13854;16;10
13855;nombre 13855;10;18
13856;nombre 13856;12;17
13857;nombre 13857;12;17
13858;nombre 13858;19;6
13859;nombre 13859;18;19
13860;nombre 13860;16;15
13861;nombre 13861;10;15
13862;nombre 13862;11;11
